0,1,2,3,4,5
10479.330078,10626.839844,10479.330078,10546.070313,10546.070313,0.7243378665306777
10537.860352,10613.94043,10489.570313,10507.580078,10507.580078,-0.3649722963875224
10502.740234,10646.169922,10480.830078,10629.110352,10629.110352,1.1565962200416724
10610.530273,10610.530273,10292.389648,10414.490234,10414.490234,-2.019172921274781
10416.759766,10524.450195,10348.700195,10373.540039,10373.540039,-0.3932040270805736
10377.330078,10604.459961,10319.30957,10560.950195,10560.950195,1.8066171749992588
10576.780273,10917.299805,10576.780273,10898.719727,10898.719727,3.1982873298646464
10896.139648,10896.139648,10620.860352,10664.379883,10664.379883,-2.1501593753205483
10644.660156,10689.019531,10583.230469,10617.360352,10617.360352,-0.4409026264616922
10632.139648,10803.540039,10631.860352,10712.910156,10712.910156,0.899939352458734
10719.360352,10792.160156,10670.05957,10725.799805,10725.799805,0.1203188378536168
10725.799805,10856.25,10703.80957,10768.269531,10768.269531,0.3959585930384479
10777.950195,10915.400391,10772.540039,10794.44043,10794.44043,0.2430371836873002
10794.820313,10798.990234,10615.839844,10674.990234,10674.990234,-1.106589978189354
10647.980469,10653.379883,10434.589844,10434.959961,10434.959961,-2.2485292046029226
10433.339844,10679.919922,10433.339844,10645.419922,10645.419922,2.016873680268816
10643.139648,10784.580078,10582.849609,10584.370117,10584.370117,-0.573484234979138
10580.969727,10580.969727,10318.929688,10318.929688,10318.929688,-2.507852862908344
10314.379883,10520.469727,10299.209961,10487.290039,10487.290039,1.631567963834346
10495.259766,10640.870117,10475.349609,10635.55957,10635.55957,1.4138021400058376
10690.099609,10828.94043,10645.040039,10803.160156,10803.160156,1.035495373809625
10795.200195,10901.370117,10774.719727,10868.759766,10868.759766,0.607226117661197
10868.759766,10917.679688,10758.320313,10787.990234,10787.990234,-0.7431347618213513
10944.94043,11028.0,10888.419922,10912.410156,10912.410156,-0.3045916817029481
10912.80957,10919.419922,10627.75,10662.009766,10662.009766,-2.294638731685894
10625.209961,10680.719727,10531.070313,10572.549805,10572.549805,-0.4594501244799431
10568.480469,10611.589844,10472.509766,10604.269531,10604.269531,0.3000196412884071
10600.200195,10638.019531,10552.620117,10609.549805,10609.549805,0.0497938493977834
10608.740234,10623.889648,10468.040039,10525.379883,10525.379883,-0.7933411270696356
10525.780273,10664.049805,10486.639648,10652.660156,10652.660156,1.2092701110539172
10660.950195,10705.929688,10545.299805,10584.339844,10584.339844,-0.641345081880973
10584.570313,10737.240234,10567.469727,10678.280273,10678.280273,0.8875416925813617
10686.0,10717.719727,10564.009766,10587.589844,10587.589844,-0.8492980768570968
10581.900391,10634.360352,10509.919922,10578.240234,10578.240234,-0.0883072553598984
10575.799805,10679.089844,10553.839844,10649.80957,10649.80957,0.6765712861196427
10657.129883,10725.139648,10612.530273,10702.19043,10702.19043,0.3959665885200358
10702.19043,10900.769531,10682.959961,10881.200195,10881.200195,1.6726460454133285
10882.25,10957.5,10832.580078,10887.360352,10887.360352,0.0566128449950742
10884.820313,10983.799805,10864.169922,10983.629883,10983.629883,0.8842320625707556
10982.709961,11022.780273,10848.580078,10864.099609,10864.099609,-1.0882583924737177
10860.44043,10977.660156,10851.429688,10965.849609,10965.849609,0.9365709415597444
10965.030273,11035.139648,10932.179688,10957.419922,10957.419922,-0.0768721740728839
10948.950195,11004.040039,10911.259766,10946.719727,10946.719727,-0.0976525046604837
10940.620117,10965.200195,10871.5,10880.549805,10880.549805,-0.604472605951456
10878.509766,10889.219727,10754.959961,10781.450195,10781.450195,-0.9107959779243946
10950.179688,11012.900391,10894.339844,10903.320313,10903.320313,-0.39691360886841
10899.419922,10917.910156,10780.410156,10795.410156,10795.410156,-0.98969996205045
10800.650391,10922.580078,10800.650391,10891.019531,10891.019531,0.8856483785089075
10884.110352,10884.110352,10722.150391,10799.820313,10799.820313,-0.8373799876165156
10800.230469,10903.169922,10727.530273,10730.879883,10730.879883,-0.6383479354468036
10721.290039,10746.209961,10520.269531,10526.580078,10526.580078,-1.9038495186555315
10527.799805,10566.19043,10372.429688,10526.80957,10526.80957,0.002180119262829
10529.25,10529.25,10294.009766,10441.900391,10441.900391,-0.8065993636094615
10447.589844,10642.530273,10421.910156,10642.530273,10642.530273,1.9213924140947247
10638.44043,10698.429688,10560.120117,10636.879883,10636.879883,-0.0530925433619433
10639.320313,10684.769531,10423.5,10495.280273,10495.280273,-1.331213772812323
10493.25,10493.25,10302.889648,10450.139648,10450.139648,-0.4301040451118565
10438.040039,10579.269531,10302.05957,10466.30957,10466.30957,0.1547340279141051
10468.929688,10571.620117,10468.530273,10562.299805,10562.299805,0.9171354464341696
10570.169922,10690.929688,10570.169922,10591.219727,10591.219727,0.2738032676018909
10591.860352,10731.480469,10591.860352,10729.599609,10729.599609,1.306552838737085
10727.160156,10859.5,10711.299805,10858.25,10858.25,1.1990232225635555
10850.110352,10850.110352,10579.269531,10644.620117,10644.620117,-1.9674430317961007
10638.519531,10638.629883,10166.620117,10208.25,10208.25,-4.0994428378246734
10206.889648,10293.080078,10108.089844,10290.799805,10290.799805,0.8086577523081839
10279.419922,10279.419922,9895.570313,9973.459961,9973.459961,-3.08372381168871
9982.919922,10097.730469,9980.849609,10031.280273,10031.280273,0.579741756883756
10023.549805,10049.719727,9814.349609,9823.410156,9823.410156,-2.0722192117341165
9820.049805,9992.660156,9794.070313,9959.110352,9959.110352,1.3813960106014322
9717.459961,9719.44043,9461.540039,9487.0,9487.0,-2.4047478965339097
9490.660156,9497.780273,9106.540039,9389.480469,9389.480469,-1.0279280172868166
9395.580078,9529.400391,9338.150391,9504.780273,9504.780273,1.2279678772501912
9509.25,9724.870117,9509.25,9687.530273,9687.530273,1.9227167251739008
9687.929688,9960.879883,9649.80957,9947.540039,9947.540039,2.683963390800126
9941.200195,9941.200195,9695.80957,9785.349609,9785.349609,-1.6304576746021704
9784.94043,9882.799805,9687.610352,9799.05957,9799.05957,0.1401070125015113
9799.469727,9908.139648,9760.639648,9878.780273,9878.780273,0.8135546317532993
9877.160156,9992.530273,9705.070313,9777.929688,9777.929688,-1.0208809408954855
9774.780273,9774.780273,9428.070313,9485.709961,9485.709961,-2.9885644131663947
9480.950195,9625.900391,9375.719727,9515.419922,9515.419922,0.3132075629778796
9913.94043,9913.94043,9698.070313,9791.089844,9791.089844,-1.280089972284637
9793.580078,9935.589844,9775.790039,9845.150391,9845.150391,0.5521402403750653
9850.349609,10155.240234,9849.5,10102.740234,10102.740234,2.6164134906002
10109.049805,10173.790039,9951.919922,10013.469727,10013.469727,-0.8836266689265959
10013.080078,10127.459961,9934.349609,10126.94043,10126.94043,1.133180666577971
10151.730469,10219.400391,10075.540039,10216.730469,10216.730469,0.572629402812086
10226.879883,10687.139648,10226.879883,10615.830078,10615.830078,3.9063339314956425
10616.089844,10694.240234,10562.150391,10693.709961,10693.709961,0.7336202861931262
10690.330078,10706.469727,10517.070313,10579.849609,10579.849609,-1.0647413518343862
10571.0,10571.0,10483.230469,10532.230469,10532.230469,-0.4500927873255622
10529.75,10636.910156,10448.030273,10454.339844,10454.339844,-0.739545390971641
10453.429688,10639.19043,10444.05957,10625.200195,10625.200195,1.6343485437587013
10633.009766,10766.980469,10623.709961,10692.349609,10692.349609,0.6319825769645293
10694.950195,10810.049805,10694.950195,10810.049805,10810.049805,1.1007888846145564
10902.769531,10939.200195,10802.55957,10876.679688,10876.679688,-0.198747298304569
10952.349609,10995.280273,10893.589844,10935.169922,10935.169922,-0.1467442194365231
10936.660156,10946.80957,10819.80957,10883.509766,10883.509766,-0.4724220690532354
10875.959961,10914.009766,10800.94043,10866.980469,10866.980469,-0.151874692588938
10868.870117,10979.089844,10868.799805,10910.44043,10910.44043,0.3999267425204067
10908.299805,10920.139648,10774.129883,10821.30957,10821.30957,-0.8169318238970602
10819.549805,10878.759766,10800.129883,10877.330078,10877.330078,0.5176869549625263
10877.459961,10922.169922,10816.169922,10872.969727,10872.969727,-0.0400865926540205
10864.740234,11231.150391,10814.30957,11215.919922,11215.919922,3.154153866062725
11218.650391,11328.610352,11181.910156,11248.580078,11248.580078,0.2911946253818964
11245.780273,11303.759766,11193.599609,11301.740234,11301.740234,0.47259436863476
11299.139648,11345.719727,11232.839844,11337.919922,11337.919922,0.3201249298860675
11339.799805,11350.049805,11239.599609,11257.240234,11257.240234,-0.7115916195831296
11257.759766,11262.25,11101.209961,11105.509766,11105.509766,-1.347847828118065
11107.070313,11173.370117,11044.969727,11122.419922,11122.419922,0.1522681655890423
11122.030273,11123.990234,10993.790039,11005.370117,11005.370117,-1.0523771429316042
11004.660156,11066.009766,10970.429688,11039.139648,11039.139648,0.3068459364927278
11032.959961,11042.129883,10864.830078,10872.639648,10872.639648,-1.5082697140276324
10873.230469,10978.959961,10865.94043,10911.94043,10911.94043,0.3614649548992377
10913.570313,11021.570313,10835.490234,10990.410156,10990.410156,0.7191179836746997
11061.389648,11196.530273,11043.44043,11175.839844,11175.839844,1.0334955579982985
11177.730469,11179.679688,11059.639648,11070.240234,11070.240234,-0.9448919407760936
11069.580078,11100.040039,11008.950195,11090.740234,11090.740234,0.1851811665029457
11095.620117,11096.459961,10938.080078,10977.0,10977.0,-1.0255423136799835
10974.790039,10975.44043,10871.339844,10922.089844,10922.089844,-0.5002291700828998
10914.669922,10982.139648,10788.580078,10948.379883,10948.379883,0.2407052072954885
10942.0,11004.330078,10866.519531,10871.620117,10871.620117,-0.7011061620102121
10868.269531,10868.480469,10659.469727,10690.129883,10690.129883,-1.6693945524844378
10680.80957,10716.299805,10566.549805,10623.639648,10623.639648,-0.6219778031484546
10622.5,10709.049805,10614.719727,10645.379883,10645.379883,0.2046401771928607
10654.299805,10740.790039,10563.660156,10596.669922,10596.669922,-0.4575690255806397
10593.790039,10702.070313,10563.860352,10647.330078,10647.330078,0.4780761916045373
10646.389648,10759.639648,10597.139648,10715.429688,10715.429688,0.6395933018053857
10716.5,10724.69043,10573.990234,10604.589844,10604.589844,-1.0343947674270826
10497.299805,10534.209961,10394.719727,10472.480469,10472.480469,-0.302157217050758
10470.349609,10531.19043,10408.0,10434.839844,10434.839844,-0.3594241604118697
10438.730469,10646.450195,10438.660156,10566.209961,10566.209961,1.2589567158094672
10565.269531,10605.589844,10491.599609,10502.400391,10502.400391,-0.6039021582528004
10588.889648,10595.129883,10531.519531,10571.110352,10571.110352,-0.2134224387905559
10566.230469,10567.639648,10461.139648,10479.860352,10479.860352,-0.8632016596320513
10253.620117,10323.110352,10222.240234,10299.400391,10299.400391,0.455692603512059
10300.820313,10335.629883,10162.709961,10175.639648,10175.639648,-1.20163056393211
10174.700195,10274.019531,10120.889648,10241.019531,10241.019531,0.642513741264894
10269.30957,10496.639648,10269.30957,10478.990234,10478.990234,2.323701290478497
10478.389648,10549.759766,10432.599609,10539.05957,10539.05957,0.5732359192882841
10537.980469,10568.69043,10446.599609,10472.120117,10472.120117,-0.6351558462630358
10468.620117,10628.480469,10438.660156,10606.389648,10606.389648,1.2821618688467096
10594.540039,10594.540039,10480.879883,10569.830078,10569.830078,-0.3446938233774288
10574.330078,10679.120117,10523.919922,10610.0,10610.0,0.3800432145414367
10576.919922,10595.400391,10419.709961,10424.419922,10424.419922,-1.4393069958097304
10423.799805,10423.799805,10203.69043,10241.120117,10241.120117,-1.7583693516908028
10403.459961,10459.019531,10284.089844,10455.629883,10455.629883,0.4801224849000141
10451.889648,10460.120117,10375.290039,10416.669922,10416.669922,-0.3726218452256624
10418.679688,10440.480469,10361.450195,10401.719727,10401.719727,-0.1435218271476968
10403.179688,10595.049805,10402.969727,10522.80957,10522.80957,1.164132914345739
10527.379883,10599.959961,10484.200195,10510.009766,10510.009766,-0.1216386547228998
10513.469727,10609.650391,10513.469727,10551.179688,10551.179688,0.39172106322094
